age,gender,height_cm,weight_kg,bodyFat_,gripForce,sitAndBendForward_cm,situpsCounts,broadJump_cm
42,M,174.1,103.1,30.5,50.7,3.6,25,153
45,M,185.4,80,21.9,46.2,7.1,22,205
37,M,168.9,78.8,23.4,42.1,20.9,47,241
31,M,175.3,83.6,30.1,45.9,7.2,55,193
43,F,164,50.8,22.4,24,13.5,28,160
23,F,162.4,58.9,29.6,28.1,25.5,48,178
59,F,165,63.7,31.4,20.8,25.5,30,120
63,M,166.6,75.5,31.6,34.1,6.7,17,140
40,M,174.2,77.6,17.8,49.5,12.1,48,213
27,F,150.5,55.7,39.6,29.7,13.4,23,159
56,F,160.2,62.4,33.3,28.8,20.7,15,133
35,M,179,75,10.7,47.7,16.6,54,233
30,M,172.7,78,26.6,36.9,3.4,25,218
56,M,160.2,62.7,30.2,35.4,9.5,27,184
36,M,171.5,80.5,21.5,46.7,16.8,53,220
60,M,175.1,66.5,17.3,40.4,13.9,31,211
22,M,172.2,70.6,24.3,36.7,9.8,50,213
22,M,171.9,78.46,22.9,43.6,-9.3,46,219
37,M,174,75.2,18.5,39.7,20.5,50,224
21,F,158.1,53.6,27.63524,18.9,12.4,17,116
21,M,170.4,74.3,19.5,45.6,12.7,54,194
60,F,158.6,62.7,34.6,29.3,18.4,12,132
27,F,168.5,64.2,26.2,25.2,23.1,18,164
59,F,156.3,60.5,33.6,29.6,22.4,23,135
47,F,157,54.1,26.8,25.1,18.2,25,157
21,F,161.3,50.6,23.5,27.5,29.4,39,175
51,M,177,68.7,18.3,39.3,11.3,35,220
48,M,171,66.2,17.3,48.8,16,49,225
49,M,170,66.2,18,39.5,20,39,156
41,F,158.1,51,21.7,23.1,28.6,46,165
24,F,159,45.5,24.5,28.5,22.9,57,197
35,M,178.4,79,15.4,52.7,14.7,68,260
26,F,156.7,56.3,32.8,19.7,22.9,28,130
35,M,178.5,78.4,13.8,51.5,17.1,64,237
25,M,171.2,65.1,11.8,45.1,22.2,54,239
30,M,176.4,71.7,17.9,53.4,24.3,56,210
27,M,175.4,86.4,19.8,47.6,20.6,48,213
41,M,166.7,65.7,21.5,49.6,18.7,54,242
50,F,158.4,57.2,32,21.1,18.6,17,136
22,M,175.8,72,30.4,34.6,19,54,188
56,M,173,70.9,19.5,47.9,11.1,44,162
46,F,159.1,52.2,27.2,22.9,17.9,30,136
44,M,180.5,79.5,21.7,42.3,10.8,33,196
25,F,162.2,71.5,41.3,24.9,7,5,120
25,F,156.3,48.6,26.5,22.8,29.8,41,155
59,M,170,59.1,15,28.3,8.6,15,162
30,M,178.4,82.5,30,39.3,1.9,42,200
24,M,176,67.2,10.8,47.7,17.2,55,242
39,M,168.8,70.9,25.5,33.7,5.4,33,201
27,M,170.3,74.6,22,47.9,14.5,53,170
33,M,172.8,78.8,19.3,59.8,19.7,59,228
28,F,163.6,52.4,20.3,31,23.5,23,130
28,F,166.2,59.7,21.9,32.1,15.6,38,165
35,M,179.2,64.7,12.9,49.7,22.5,46,239
34,M,177.8,76.4,28.9,41.1,5.3,38,194
35,M,184.7,84.18,16.3,48.8,15.3,56,229
34,M,173.2,73.77,19.5,50,18.1,59,218
25,M,164.3,61.18,22,43.3,18.6,47,209
32,M,169.2,68.7,15.2,48.3,21.1,64,254
21,F,169.1,56.1,22.6,26.3,31.3,24,162
22,M,183.5,76.9,15.7,40.9,22.8,56,253
22,F,156.9,46.9,23,20.5,16.5,38,155
24,M,172.1,64.5,16.8,40.2,21.7,63,201
27,M,178.2,75.1,15.9,49.2,16.7,55,229
21,F,164.4,48.1,16.9,26.5,29.4,41,215
46,F,164.1,49.1,30.5,21.2,4.3,16,150
29,F,162.2,51.7,29.2,29.7,23.7,44,183
23,F,162.7,51.7,19,32.6,21.4,59,200
51,M,177.9,67.2,15.8,36.6,13.7,25,183
28,M,184.8,84.6,17.2,52.5,11.7,56,257
23,F,164.7,44.3,26.7,22.3,12.5,25,130
30,M,178.3,93.5,27.3,57,16.1,47,222
25,F,160.1,51.7,30.7,25.7,21.1,47,159
28,M,172.7,69.8,27.6,46.5,10,48,185
22,M,178.3,73.2,23.4,42.7,11.7,46,208
51,M,167.7,72.7,29,36.3,6.1,37,180
24,F,165.1,49.9,19.3,31.8,21.6,50,204
27,F,160.3,47.8,19.5,27.3,28,37,173
61,F,153.2,62.2,37,25.7,3,0,58
30,M,169.5,71.9,20.6,45.9,13,66,235
42,M,180.2,73.3,20.4,53.7,26,41,211
22,M,180.3,91.7,32.1,28.6,-6.9,36,210
23,F,164.7,62.5,31.4,23.2,14.7,41,165
27,F,160.2,54.5,20.7,22.2,22.5,35,171
29,M,167.9,70.7,25.3,47.3,16.2,53,181
62,M,165.6,67.6,25.7,40.5,9.8,41,188
21,M,169.2,92.9,33.3,44.6,10.9,52,226
25,M,184.1,74.7,12.6,49.5,13,49,243
31,F,166.9,64.1,30.5,27.5,21.5,37,150
21,M,175,66.4,16.5,39.4,13,54,248
38,M,171.6,66.3,20.5,46,26.2,46,204
23,F,178.1,64.2,29.2,29.9,14.6,27,126
56,M,170.1,61.5,22,37.7,20.5,40,195
59,M,170.3,71,24.5,30.1,22,33,182
23,F,164.4,54.3,21.7,27,31.7,44,186
52,M,170,75.5,30.4,39.6,10.2,29,186
33,M,178,74.66,19,43.1,18.6,37,198
58,F,154.9,51.6,24.1,25.3,19.4,31,165
21,F,160.9,61.4,36.5,27.3,20.8,47,169
27,M,176,72.86,18.6,39.7,10.1,53,231
27,M,173.5,65.3,14.3,39.1,12.1,46,229
21,F,163,62.3,32.9,33.3,12.2,44,167
57,M,168.5,66,24.1,42.1,9.5,30,212
29,F,166.7,52.84,15.2,30.7,29.7,48,186
45,M,170,70,20,34.2,8.5,36,219
24,F,155.5,64.4,34.8,24.7,16.7,43,174
50,F,163.9,52.5,19.6,25.4,18,26,171
60,M,173,68.4,11.4,47.1,12.3,52,195
62,M,163.7,63.9,23.3,42.7,25,29,211
39,F,159.2,45.3,19.6,20.8,18.7,36,161
22,F,162.2,60.4,27.1,34.9,22.6,37,148
54,F,156.5,52.2,30.1,20.5,13.5,16,110
48,M,167.2,68.5,28.2,39.2,7,31,195
61,F,160.9,63.1,30.9,27.5,21.1,27,140
60,M,172.5,76,23.1,47.3,16,41,206
27,M,168.6,67.2,23.7,45,11.6,41,223
40,F,162.5,51.4,22.5,26.9,26.3,36,174
36,M,172.1,65.64,19.9,47.3,15.4,39,215
58,M,168.5,74.9,30.1,40.6,15.8,29,188
55,F,152.8,55.6,31.3,23.9,15.7,23,130
25,F,158.1,57.9,31.5,24.5,13.7,59,157
21,M,169.6,64.5,10.9,46.2,21.5,65,248
23,F,163.8,57.5,31.7,32.9,28.8,43,164
64,M,165.8,61.3,8.5,34.9,7.6,33,166
21,M,187.4,84.4,18.8,50.8,16.8,49,257
56,F,149.4,51.6,35.1,25.5,18.8,11,117
22,M,167.3,61.4,16.4,38.8,19.9,67,240
28,F,165.4,62,31.1,25,21.7,31,170
53,F,152.7,46.9,27.5,23.5,18.5,20,152
23,M,165.7,62.7,23.2,37.7,25.5,35,237
46,M,176.8,80.9,22.7,50.1,22.1,45,206
56,F,148.2,54.7,37.7,22.7,10.7,0,134
44,M,172,71,18.1,48.3,28.7,52,203
27,M,173.8,68.4,13.9,47.8,14.1,49,244
45,M,166.5,71.5,26.6,47.8,24.2,47,201
63,M,164.7,73.8,36.7,35.6,9,22,135
26,M,183.4,83.6,14.1,50.6,16,51,231
32,M,170.8,72.2,24.1,47.4,16.6,60,205
22,F,167,50.3,18.9,27.9,23.3,39,168
21,M,175,84.7,28,50.9,11.6,42,156
21,M,178.9,75.5,17.2,40.8,15.4,55,213
54,F,148,53.4,27.9,27.9,23,35,145
21,M,179,82.8,15.4,58.9,19.9,56,278
24,M,163.9,64.8,23.6,39.7,13.2,47,224
31,M,178,84.66,18.9,59.2,15.1,47,196
27,M,180.9,77.1,19.9,40.9,22,52,209
22,F,163.8,54.2,28.4,23.6,19.4,41,155
61,F,152.6,56.4,37.6,28.9,20.2,4,125
60,M,171.9,60.9,16.7,33.6,10.9,28,190
41,F,160,50,20.6,27.4,22.6,38,178
59,M,166.1,67.8,25.9,40.6,22.4,34,188
51,M,174.5,71.2,21.2,40.7,13,41,203
34,M,181.1,70.5,19.4,34.1,12.7,40,217
22,F,169.2,53.2,16,30,27.1,54,202
22,F,162.1,55.1,23.2,28.5,23.1,43,198
23,F,161.8,47.8,17.2,25.2,21.5,47,178
27,F,152.3,55.5,37.5,16.6,16.1,37,113
25,F,160.9,63.7,36.1,26.4,23.6,37,179
37,F,149.5,38.1,17.3,16.2,23,35,167
21,M,170,50.1,16.3,28.5,6.4,44,210
31,M,174,67.6,15.6,39.3,5.1,38,225
49,M,176.2,73.3,22.2,45,9.9,33,223
27,M,182.5,81,17.8,42,9.1,44,233
49,F,155.9,57,23.3,25.1,17.5,25,110
36,F,156.6,55,26.6,30.1,12.5,24,149
33,M,179.2,76.3,23.8,32,8.7,36,188
61,F,146.5,56.16,37.3,26.9,23.5,12,118
24,F,166.9,70,23.7,39.1,23.8,47,186
25,M,168.8,63.9,26,38.2,20.1,49,215
28,F,161.4,55.9,35.2,22.4,18.1,30,152
26,F,162.6,57.2,32.6,26.9,20.6,43,128
62,M,175,68,22.6,46,2.8,33,194
51,M,172.4,75.6,23.3,47.4,22.4,55,211
26,M,180.2,103.4,24.7,67.6,16.2,46,219
21,F,160.7,56.6,29.2,25.6,30.1,32,157
56,F,149,46.7,23.2,25,28,41,186
52,M,165.4,74.8,27.5,38.9,18.2,56,217
21,F,169.2,64.9,35.3,29.9,22.3,39,174
56,F,157.2,60.4,36.2,24.2,14.3,16,132
36,M,169.9,67.1,17.9,48.8,16.3,59,228
32,F,163.5,55.6,25.5,28.2,24.5,36,183
21,F,159.9,49.7,25.4,23.4,24.3,11,145
63,M,165.8,63.9,20.7,26.9,14.2,28,160
32,M,168,69.8,21.9,50.9,26.3,68,248
28,M,175.1,75.5,13.8,44.5,11.4,66,247
40,M,169.8,84.1,25,57.9,19.8,40,220
26,F,158.8,56.9,27.6,21.8,20.8,37,172
56,F,156.9,49.9,35.9,12.1,1.2,20,118
22,M,168.4,69.9,15,44,16.3,61,234
29,M,172.7,72.6,27.5,35,3.3,40,213
61,M,171.6,86.4,28.7,35.1,-2.4,12,162
54,F,162.9,51.4,29.4,19.5,20.5,24,134
56,M,168.8,66.4,23.8,34.3,20.2,35,186
36,M,173,72.7,19.2,45.9,7.8,46,204
24,M,167.5,65.66,19.1,45.3,18.3,44,241
59,F,145.7,51.6,41.4,24.8,20.1,12,122
23,F,158.2,47.9,30.4,21.6,10.9,26,131
41,M,179.3,73.4,18,43.3,17.3,47,246
35,M,169.9,61.7,22.2,38.1,14.3,37,216
30,M,163.7,65.5,23.6,43.5,14.5,42,230
44,F,167.8,63.8,24.3,29.1,14.8,43,170
28,M,170,74,28,37.7,6,50,193
22,M,169.5,65,20.1,38.1,16.2,40,151
21,M,187.9,74.7,21.06,44.7,7.7,45,221
53,M,170,75.1,22.4,42.8,7.4,29,181
21,F,158.4,48.9,22.7,25,21.4,41,163
63,F,157.6,58.2,29.2,22.9,17.9,27,126
23,F,161.1,53,28.4,28.9,-4.4,22,143
62,M,174.7,71.9,23.6,41.2,16.6,40,205
32,M,179.7,90,29.3,49.7,1.5,50,216
38,M,172.3,71.6,15.5,47.4,6.2,47,230
24,M,180.3,80.2,24.7,64.3,19,57,235
23,M,183.3,79.4,19.8,48.9,23,48,199
63,M,172.4,71.66,18.9,43.1,15.8,38,173
27,M,178.8,73.38,7.8,49.6,21.5,54,223
59,F,158.2,54.34,29.6,25.1,28.6,42,148
36,F,166.5,53.7,25.9,27.4,18.9,40,186
34,F,167.5,65.8,26,31,20.5,50,174
23,M,180.4,90.5,26.8,46.1,4.5,42,185
21,F,158.8,49.7,28.4,15.2,24.2,28,174
24,M,177,89.9,18.9,56.8,12.7,54,232
55,M,170,75.5,20.6,45.4,12.5,40,216
43,M,169,68.6,12.4,45.7,20.2,55,239
22,F,159.3,54,21.3,23,27.2,33,189
46,M,173.9,69.4,17.8,43.9,14.5,46,237
24,M,176,77.5,24.7,35.6,9.3,38,200
56,F,164,57.6,23.2,24.4,23.6,27,149
28,M,171.4,76.8,25.1,47.8,23,41,217
53,F,160.4,59.3,20.3,22.5,-5,13,150
30,M,179.2,76.5,12.6,55.4,16.7,50,215
21,F,153,56.9,40.2,18.6,19.4,22,160
59,F,162,65.3,37.6,24.7,16.5,11,125
27,F,164.6,56.9,29.4,26.8,19.9,51,183
38,M,179.9,82.2,18,54.3,20,61,241
41,M,167.9,72.4,20.7,44.6,23.3,60,212
21,F,168.4,60.2,34.2,25.8,16.8,32,162
23,F,163.7,53.4,29.6,26.6,28,43,204
21,F,166.3,47.6,25.3,23.8,10.1,42,172
63,M,160.5,68.2,28.7,37.1,14.3,31,174
22,M,182.9,72.4,12.3,52.6,11.2,45,225
28,M,170.3,52.5,16.8,30.1,16.5,25,185
25,F,154,57.9,33.1,30.2,18.7,36,158
39,M,176.9,90.1,21.5,46.4,9.3,45,225
22,M,180.6,80,25.2,35.6,20.4,49,221
30,M,170.2,62.9,14.7,42.8,27.8,65,240
30,M,185.2,108.9,23.1,54,27.7,52,231
24,F,162.8,59.7,32.6,27.7,21.1,47,158
64,M,163.8,68.5,30.9,35.5,18.8,26,182
22,F,166,68.8,31.3,33.5,27.8,38,181
64,F,155.5,60,34.9,17,12.8,20,100
26,M,170.1,67.1,16.4,35.2,15.4,51,225
39,F,159.3,50.6,30.8,25.2,19.6,32,167
50,M,165.2,67,28.4,39,13.3,38,205
45,F,159.2,59.1,30.7,25,21.7,35,137
52,F,150.3,49.1,33.6,20.8,19.5,16,130
25,M,184,75.7,9.2,51.5,21.8,58,230
25,M,175.3,63.7,9.9,44.6,11.5,55,221
35,M,177.3,82.7,23.8,49,12.1,51,197
63,M,169.4,76.1,24.3,40.4,17.3,28,168
31,M,167,71.1,20,46.9,14.6,53,228
42,F,158.1,51,14,23.9,20.3,30,121
25,F,158.6,46.2,17.8,22.1,19.6,21,135
24,F,156.1,49.4,25.1,21.7,23.8,38,137
22,M,175.1,67.5,18.3,39.4,24.9,60,163
26,M,172.9,83.3,31.5,45.2,9.2,44,174
22,F,166,54.9,23.5,28.1,21.5,46,167
46,M,168,58.7,23.2,32.9,17.4,38,182
37,M,181.2,86,23,52.8,21.3,44,222
28,M,170,84.2,13.5,42.6,23.5,51,241
24,M,176.1,74.8,24.3,35.7,-12,1,200
27,M,170,75.9,34.4,35.2,-6.6,49,202
28,M,171,74.6,25.2,42.4,8,52,213
23,F,163.5,58.5,27.9,35.7,26.8,39,168
39,M,170.8,68.9,19.9,43.3,7.4,52,215
55,F,154.6,58.9,41.3,23.1,18.5,27,115
41,M,176.2,93.1,35.8,36.3,7.1,1,182
36,F,165.8,55.78,26.7,25.4,23.9,30,152
29,M,172.7,71.8,15.7,52.2,19.7,57,254
35,M,173.1,77.6,22.8,46.4,16.7,47,216
41,M,177,81.7,24.2,46.3,7.8,39,213
23,F,161.8,58.7,29.6,29,10.3,44,126
22,M,175.8,73.3,17.5,50.5,7.2,43,232
52,F,159.5,55.2,31.5,24.4,15,16,119
63,F,175.1,81.2,26.3,40.2,24.4,36,167
64,M,159.3,56.5,19.8,34.2,-1.4,16,144
41,M,175.7,81.2,22,43.7,14.3,42,199
22,F,158.5,49.3,27,27.1,21,59,178
21,F,170.5,67.8,30.7,29.7,9.8,39,166
44,M,177.4,87.9,25.9,48.7,5.2,28,214
50,F,157.3,51.1,29.1,21.6,20.5,33,164
26,M,180.8,69.26,13.6,44,1.5,53,249
53,M,167,65.7,23.7,33.7,14.2,32,185
29,M,185,85.8,23.6,51,17.2,55,231
47,M,177.7,87.7,28.5,40.4,12.2,44,204
25,M,179.4,74.3,12.4,49.1,20.9,58,270
40,F,159.1,50.4,16.6,28.7,25.7,32,162
51,F,161.2,47.8,17.1,23.9,14.1,29,154
40,F,163.3,47.7,16.1,27.9,27.6,32,185
27,F,169.8,64.9,26.9,31.3,12.3,49,159
24,M,179.4,78.1,23.9,37.9,-13.1,37,217
28,M,171.4,68.3,12.6,35.9,12.3,52,228
43,M,174.6,104.9,36.2,32.7,-1.3,22,173
54,M,176,68.9,18.9,40.2,10.5,44,182
23,F,167.2,54.8,24.5,29,19.5,39,175
28,M,175.4,69.9,14.9,45.9,23.8,58,230
29,M,170,66,20.6,39.6,6,38,185
54,M,163,75.5,23.1,46.7,3.3,42,207
23,M,178.6,83.9,17.9,48.5,16.6,43,243
35,F,158.3,70.1,32.8,29.1,21.4,41,149
29,F,161.4,61.8,29.8,24.6,18.7,41,168
37,M,174.1,80.2,28.2,35.6,-7.7,40,193
29,M,178.8,72.9,13.7,51.1,8.1,51,243
45,M,160,59.3,20.2,31,11.5,40,220
22,F,159.1,51.3,29.1,21.3,7.9,24,154
47,M,174.3,78.1,22.8,46.7,16.8,52,231
44,M,176.9,85.2,24.7,50.4,2.9,44,192
26,F,161.9,53.9,20.7,30.3,26,40,173
32,M,165.9,74.8,24.3,42.2,17.1,54,229
48,F,161.5,49.4,22.4,19.9,11,37,157
56,M,162.3,56.68,15.9,34.5,9,23,138
26,M,180.6,73.4,17.5,41,11.2,44,236
22,M,177.1,71.4,18.1,51,11.6,57,158
43,F,166.2,51.8,16.5,35.9,15.8,40,165
37,F,170,63,25.9,33.4,20.4,35,190
33,F,162.7,53.9,33.4,27.6,30.4,42,175
48,M,168.6,71,22,49.7,7,39,225
22,M,175.8,66.6,14.7,34.2,2.9,52,240
27,M,173.9,79,27,31.6,0.2,39,206
38,M,171.4,71.7,17.2,42.5,21.3,54,216
62,M,164.5,64.02,17.8,41,13,26,205
31,M,176.5,69.3,12.7,46.6,10.6,58,253
22,M,175,69.8,15,50.3,26.8,60,276
29,M,179,79.1,5,53.9,10.3,46,209
22,M,170,73.6,23.9,36.5,7,57,217
50,F,153.9,43.8,23.2,22,18.5,19,138
32,M,176.3,71.8,21.2,45.3,15.4,45,209
46,M,163.5,71.1,28.6,37.9,14.9,35,204
31,M,178,78.2,19.4,45.7,11.9,48,218
22,M,179.6,70,13.1,49.7,16.7,51,248
28,M,176.2,83.7,20.5,46.2,7.8,46,211
31,M,173.7,83.8,29.6,39.3,27.5,60,204
59,M,165.7,57.6,13.6,33,13.5,41,186
34,F,162.1,79.3,43.5,24.6,20.1,13,135
37,M,170.8,60.5,11.5,42.8,14.1,35,233
64,F,153.2,50.1,28.2,23.3,26,21,115
63,F,147.4,52.1,31.1,20,20.2,23,87
25,F,160,53.1,26.1,18.1,34.8,33,108
57,F,159.2,68.6,32.1,30.2,20.6,0,133
41,M,177.1,74.9,17,47.8,17.8,50,240
27,M,179.5,87,19.5,46.3,7.1,57,212
48,M,166.9,69.5,26.8,40,11.9,43,189
26,F,157.6,50.1,23.9,24.2,22,52,160
30,M,179.5,90.8,18.3,56.9,21.3,51,230
34,M,175,71,19.7,45.9,20.5,57,233
23,M,182.7,67.6,11.6,45.4,-11,39,234
30,M,185,77.9,21,42.8,15.6,44,195
25,M,175,72.6,22,49.8,21.2,58,226
25,M,174.3,79.68,20.5,54.7,28.5,38,217
35,M,184.6,79,22.6,45.5,6.7,45,194
54,F,162.4,56.2,23.7,28,16.6,19,143
50,F,154.6,53.2,25.1,27.9,20.2,23,158
21,M,175.1,103.6,39.1,28.8,-14.3,20,119
64,F,163.6,55.2,27.1,22.7,20.9,29,126
24,M,173.6,71.2,17.1,53.4,9.4,53,209
39,F,167.8,65.7,30.1,35.9,23.8,43,174
21,M,183,80.1,17.6,44.7,21,52,238
27,M,165.8,73.8,29.1,35.3,6,39,197
36,M,166.7,74.1,20.3,46.3,22.9,59,243
23,F,162.7,63.9,36.7,30.5,27.3,30,169
24,F,164.8,52,22.1,26.2,24.7,42,153
62,F,162.4,68.1,25.3,29.4,12.5,18,140
39,F,161.5,52,26.4,23.6,22.5,20,188
62,F,155,50.7,31.1,23,28.3,11,150
22,F,154.8,59.3,34.2,30.6,10.1,48,167
64,F,158,62.3,32.8,22.4,21.2,7,121
22,M,172.1,80.2,23,49.6,5.9,61,168
22,M,172.9,76.3,20.7,56.4,13.9,49,212
24,F,165.2,53.7,28.9,21.8,23.3,45,163
43,M,171.3,65.76,22.9,31.7,13.4,50,198
25,M,176.4,70.4,19.3,42.1,7.5,31,234
36,F,156.1,48.9,21.8,28.3,24.5,30,166
49,M,181.9,73.4,16.4,40.7,-7,36,200
54,F,150.9,54.4,32.6,22.1,24.7,21,148
56,M,173.7,76.3,20.3,45.5,16.5,38,215
24,M,179.3,86.4,22.57,44.9,16.1,49,232
46,M,176.1,69.2,11.3,48.1,16.3,42,238
24,F,160,51.8,32.8,23,10.2,24,120
21,M,174.8,78.7,20.1,45.9,12.5,58,199
21,F,160.8,48.9,27.3,26.5,17,47,193
25,F,168.1,57.5,30.2,26.9,19.8,30,174
21,M,169.5,61.6,12.4,27.2,19.3,64,200
51,M,169,69,23,33.7,12.8,27,224
21,M,175.8,66.26,9.9,42.2,14.6,42,182
21,M,171.6,72.5,24.5,33.3,-3,33,203
44,F,157.6,46.8,22.9,28.4,15.6,15,149
62,F,153.3,54.9,30.4,21.3,25,19,121
63,M,174.4,71.8,22.1,33.3,6.7,30,173
38,F,163.1,61,26.5,32.4,21.8,37,170
38,F,166.2,60.4,23.2,22.7,26.6,28,151
52,M,163.4,61.3,16.9,39.3,19.5,51,203
31,M,177.8,89.3,24.9,55.5,9.5,35,185
54,F,157.1,66.2,39.9,27.2,17.4,27,126
24,M,170.6,69.9,3,52.4,23.9,60,280
28,M,174.5,69.4,16.1,35.8,19.5,53,195
35,M,171.5,76.2,18.9,42.3,18.4,55,214
25,M,171.4,69.4,15.7,41.2,19,45,232
32,M,164,65.8,20.6,36.3,4.8,37,191
27,F,160.4,55.68,24.3,29,24.5,64,173
63,M,166.8,58.4,20.7,33,10.4,30,181
26,M,167.3,63.3,12.4,40.7,18.1,56,277
28,M,167.8,65.5,17.5,53.6,16.2,40,220
35,F,159.4,55.7,30.1,21.2,21.8,30,156
56,M,171.4,75,23.5,44.9,18.7,36,180
24,F,166.6,66,30.2,31.3,22,40,165
42,M,181.6,79.6,25.6,45.5,7.6,43,229
27,M,180,92.6,29.2,38.5,3.2,40,207
46,M,172.5,78.7,22,52.3,9.1,38,218
28,M,173.3,70.8,24.6,45.4,11.6,53,232
48,M,175.3,96.7,30.7,30.7,-8.7,26,185
28,M,171.6,62.2,10.8,40.9,11.4,39,235
37,M,169.3,73.84,27.7,38.9,15.6,45,183
35,M,168.1,67.1,17.7,40.4,14.5,44,228
37,M,170,83.6,20.8,62.3,25.3,57,224
28,F,167,60.5,19.5,25.2,20.8,47,210
30,M,171.5,70.7,22.2,45.5,16.1,66,228
50,M,167.8,76.1,24.8,43.9,13.9,50,193
22,F,167.4,66.2,34,28.5,11.2,38,0
46,M,170,77.1,24.8,43.3,8.4,31,200
31,F,165.1,55.1,25.7,23.7,0,27,136
54,F,164.6,67.1,29.9,30.9,23.6,37,168
36,F,155.4,49.9,24.17116,27.5,20.8,32,159
37,M,171.9,96.6,38.6,39.5,14.4,18,193
37,M,172,73.1,14.1,56,14.3,38,242
21,M,183.5,88.7,27,49.5,-5.3,26,201
62,F,152.7,59.8,33.5,21.7,20.7,19,124
47,F,153.5,54.4,31.4,28.1,18.1,31,117
24,F,160.4,58.7,29.1,29.6,22.1,54,187
26,M,174.8,81.8,22.7,47.1,23.2,48,238
29,F,161.1,55.9,32.8,25,16,3,122
60,F,155.1,52.2,31.8,21.5,24,30,116
45,M,174.5,87.7,31.9,48.9,3.3,35,182
61,F,164.7,82.3,43.7,23.5,15.2,0,51
63,M,163.9,57.6,20,40.9,15.9,33,182
22,F,152.9,45,20.8,24.9,22.4,46,182
21,M,185.9,69.5,11.9,38.8,13.4,54,208
32,M,177.3,77.5,15.5,52,22.3,58,252
26,F,164.5,63.2,28.2,35.9,18.6,41,166
22,M,179.3,75.1,16.7,52,6.3,53,182
28,F,159.5,48.8,24.3,23.6,24,43,173
28,F,160.6,53.3,22.4,26.4,19,52,157
30,F,167.2,61,34.3,29,20.5,41,170
26,F,159.3,49,20.9,21.3,21.1,54,171
63,F,156.9,55.9,31.3,25.6,6,4,60
22,F,164.2,47.4,22.3,21.4,22.4,44,190
23,M,173,66.8,12,41,18.5,63,262
42,M,172.2,70.9,20.5,39.3,17.5,44,216
24,M,172,70.6,14.7,50.1,7.8,59,218
33,M,186.8,117.5,28.3,64.9,19.3,49,213
34,M,170.6,71.7,9.7,50.5,25.4,65,268
